State,Year,Cancer_Type,Age_Group,Gender,Population,People_Screened,Smoking_Percent,Pollution_Index,New_Cases,Deaths,Recovered,Incidence_per_100k,Mortality_per_100k,Avg_Treatment_Cost_INR,Available_Hospital_Beds
Karnataka,2013,Stomach,45-59,Male,7828694,169855,29.5,202.6,107,56,37,,0.715,,4384
Punjab,2020,Ovarian,45-59,Male,1395640,57413,21.94,,30,6,20,2.15,0.43,451168,132
Bihar,2021,Leukemia,15-29,Female,7065337,95151,21.41,205.3,140,,43,1.982,0.396,170769,3800
Chhattisgarh,2016,Stomach,60-74,Male,4811472,130359,24.25,89.1,78,42,,1.621,0.873,,2318
Assam,2023,Ovarian,75+,Male,6678307,74175,41.28,288.4,113,54,48,1.692,0.809,487808,3363
Assam,2017,Prostate,75+,Female,1888520,18278,23.04,100.4,37,17,25,1.959,0.9,409633,2379
Telangana,2025,Lung,15-29,Female,4497718,167959,20.56,179.4,77,19,45,1.712,0.422,57741,1451
Rajasthan,2017,Cervical,45-59,Male,4078383,115527,25.7,245.1,63,29,30,1.545,0.711,463560,542
Tamil Nadu,2025,Leukemia,75+,Female,5632625,105717,,110.3,82,45,41,1.456,0.799,97665,1755
Delhi,2021,Oral,60-74,Male,6307179,155458,20.01,98.3,111,23,35,1.76,0.365,,540
Jharkhand,2025,Oral,0-14,Male,5547032,14312,24.12,277.7,83,23,43,1.496,0.415,136367,
Himachal Pradesh,2024,Ovarian,15-29,Male,6796511,154768,26.36,128,105,,63,1.545,0.324,385807,2827
Tamil Nadu,2021,Lung,15-29,Female,3548621,,,162.3,71,,38,2.001,1.184,207170,2638
West Bengal,2017,Oral,60-74,Female,3546978,138142,34.33,189.5,64,,32,1.804,0.367,229676,4613
Jharkhand,2012,Lung,45-59,Male,7506944,70460,,187.3,130,64,64,1.732,0.853,313017,1832
Andhra Pradesh,2017,Colorectal,15-29,Female,4600647,143541,40.07,,80,24,36,,0.522,30272,669
Karnataka,2022,Cervical,60-74,Male,6252369,93841,16.94,283.7,121,77,72,1.935,,278089,1911
West Bengal,2017,Leukemia,0-14,Male,4353426,13286,6.18,206.9,63,28,36,1.447,,350773,4571
Rajasthan,2024,Oral,75+,Female,3493444,170512,13.84,120,47,18,28,1.345,0.515,166201,738
Assam,2022,Stomach,0-14,Female,2691104,37360,43.1,246.4,37,18,22,1.375,0.669,72006,1494
Kerala,2019,Breast,30-44,Female,7750454,131160,29.64,144.5,143,36,55,1.845,0.464,393561,2001
Madhya Pradesh,2023,Cervical,60-74,Male,6989006,,35.81,143.3,129,53,62,1.846,,216500,566
Andhra Pradesh,2010,Breast,45-59,Female,535704,33043,,259.3,10,3,5,1.867,0.56,354708,3409
Himachal Pradesh,2013,Liver,15-29,Male,4337890,61615,29.97,207.1,75,38,28,,0.876,135910,1600
Karnataka,2023,Cervical,45-59,Male,4508976,101262,16.78,292,69,29,,1.53,0.643,152632,2625
Bihar,2015,Oral,0-14,Male,4198026,31287,20.79,256.1,93,19,44,2.215,0.453,399197,4051
Uttar Pradesh,2019,Oral,60-74,Male,2540420,8460,18.49,164,34,12,21,1.338,0.472,474224,1697
Jharkhand,2023,Prostate,30-44,Male,1445958,129020,31.97,200.5,22,,6,1.521,0.83,100954,797
Haryana,2015,Stomach,30-44,Male,1601270,79640,11.13,290.7,28,,9,1.749,0.437,329093,1745
Telangana,2023,Liver,45-59,Male,1103624,48409,5.25,283,11,5,5,0.997,0.453,,2026
Bihar,2023,Stomach,60-74,Female,1220979,64050,27.23,24,21,13,9,1.72,1.065,242840,
Telangana,2025,Cervical,60-74,Female,5614696,128580,24.41,81.8,87,31,29,1.55,0.552,105632,3764
Chhattisgarh,2012,Prostate,0-14,Female,7289728,39890,8.25,222.6,119,40,80,1.632,0.549,336113,3249
Andhra Pradesh,2024,Oral,75+,Female,7543768,47809,24.72,230.5,125,57,86,1.657,,441601,
Gujarat,2022,Leukemia,0-14,Male,2396311,,37.49,,30,13,16,1.252,0.543,,3043
Odisha,2015,Breast,0-14,Male,3907950,25799,24.5,132,60,,26,1.535,0.409,326703,1126
Assam,2016,Colorectal,30-44,Male,3659661,74863,41.29,,74,,33,2.022,0.546,284616,4309
Himachal Pradesh,2020,Prostate,15-29,Female,908073,88267,,123.3,14,6,7,1.542,0.661,200279,1534
Delhi,2015,Colorectal,75+,Male,908439,47684,20.35,37,21,6,7,2.312,0.66,423035,464
Delhi,2012,Colorectal,45-59,Male,639785,,39.35,87.9,12,4,7,1.876,0.625,235436,2196
Uttar Pradesh,2021,Stomach,45-59,Female,3994190,134092,18.25,72.2,65,24,24,1.627,0.601,97368,2235
Haryana,2019,Liver,75+,Female,1017261,172672,6.2,114.9,21,4,7,2.064,0.393,254335,4501
Kerala,2016,Stomach,30-44,Female,7947652,32288,42.62,145.5,127,69,65,1.598,0.868,299673,674
Haryana,2014,Prostate,0-14,Female,6893260,119669,22.79,260.2,110,48,43,1.596,0.696,110699,222
Tamil Nadu,2021,Stomach,75+,Male,3354420,20082,29.93,87.5,56,11,28,1.669,0.328,172172,2249
West Bengal,2017,Ovarian,30-44,Male,799146,7830,30.47,141.1,12,4,6,1.502,0.501,444291,801
Gujarat,2010,Leukemia,0-14,Male,6002297,99720,17.57,251,117,62,54,1.949,1.033,167686,4480
Telangana,2013,Liver,15-29,Female,513440,147517,13.86,75.5,9,2,4,1.753,0.39,147636,2968
West Bengal,2022,Lung,45-59,Male,902695,80747,39.93,118.4,8,5,3,0.886,0.554,284353,1590
Madhya Pradesh,2025,Ovarian,45-59,Female,7053758,22133,,282.1,109,,62,1.545,,27781,2892
Punjab,2021,Liver,30-44,Female,4287645,8518,11.02,215.5,68,14,26,1.586,0.327,38904,812
Madhya Pradesh,2021,Colorectal,60-74,Female,825269,94586,30.09,217.8,7,4,,0.848,0.485,,1404
Uttar Pradesh,2011,Lung,15-29,Male,4095258,185415,22.48,258.2,70,41,44,1.709,1.001,277865,3936
Karnataka,2014,Prostate,45-59,Female,532012,59299,,279.1,13,,4,2.444,1.316,211944,2615
Andhra Pradesh,2025,Liver,30-44,Male,5858454,12966,16.46,138.4,93,60,60,1.587,1.024,,53
Uttar Pradesh,2023,Ovarian,60-74,Female,2071138,97049,6.56,183.5,38,10,16,1.835,,137222,2971
Maharashtra,2020,Breast,30-44,Male,7270166,147962,27.78,133.4,141,90,,1.939,1.238,200876,2301
Uttar Pradesh,2022,Liver,45-59,Male,4310066,23349,8.58,276.6,75,16,47,1.74,0.371,396416,2231
Delhi,2011,Colorectal,45-59,Female,6034781,84991,,73.2,93,30,58,1.541,0.497,260198,2573
Himachal Pradesh,2024,Stomach,30-44,Male,4437168,142779,25.23,,60,,29,1.352,0.383,21942,1695
Bihar,2022,Oral,15-29,Male,4173334,96834,38.92,130.7,56,27,,1.342,0.647,482082,2926
Jharkhand,2015,Stomach,75+,Female,2805909,38972,39.73,298.6,40,17,27,1.426,0.606,54128,4102
Tamil Nadu,2018,Cervical,60-74,Male,738305,102242,44.09,22.2,20,,13,2.709,1.084,358390,3536
Gujarat,2017,Prostate,30-44,Female,5319558,35895,,64.5,95,58,58,1.786,1.09,42572,2344
Tamil Nadu,2014,Lung,45-59,Female,4833880,126759,26.12,209.6,78,36,51,1.614,0.745,55954,104
Rajasthan,2019,Ovarian,30-44,Male,4741566,168417,26.15,,77,21,27,1.624,0.443,372587,241
Delhi,2024,Prostate,45-59,Female,4621804,165845,13.78,,79,36,27,,,264952,2211
Maharashtra,2020,Stomach,0-14,Male,6060882,120712,26.74,,108,62,75,1.782,1.023,188723,1997
Uttar Pradesh,2014,Liver,75+,Female,7330141,79542,,176.2,131,70,,1.787,0.955,51838,119
Delhi,2023,Cervical,60-74,Male,4222538,84063,32.66,107.9,63,,26,,0.592,416281,4098
Rajasthan,2012,Leukemia,60-74,Male,6290837,191342,15.44,117.7,115,59,40,1.828,0.938,404520,4400
Karnataka,2020,Lung,0-14,Male,2398040,133886,7.36,52.3,37,11,11,1.543,0.459,339395,114
Karnataka,2020,Cervical,30-44,Male,7244352,13677,43.28,103.8,126,47,40,1.739,0.649,405100,2179
Karnataka,2015,Oral,75+,Female,5656287,190166,42.63,223.5,102,50,57,1.803,0.884,82299,3046
Bihar,2024,Ovarian,45-59,Male,7581924,10794,44.67,,131,26,71,1.728,0.343,258439,2513
Rajasthan,2015,Stomach,60-74,Female,5946313,55043,10.13,184.2,103,52,66,1.732,0.874,403628,1744
West Bengal,2012,Cervical,15-29,Male,4633262,,6.68,102.1,74,24,51,1.597,0.518,,2365
Gujarat,2015,Liver,45-59,Female,3303367,41579,41.63,277.9,54,17,32,1.635,0.515,73283,1273
Bihar,2011,Breast,45-59,Male,2885804,188499,30.83,220,54,13,,1.871,0.45,427368,2255
Himachal Pradesh,2015,Lung,75+,Male,1554846,99353,37.2,262.3,26,6,16,1.672,0.386,199655,1655
Delhi,2011,Leukemia,15-29,Female,5202664,41733,28.63,140.4,80,35,29,1.538,0.673,77391,411
Andhra Pradesh,2013,Liver,15-29,Male,6964428,25583,30,193.8,123,79,45,1.766,1.134,308019,4183
Odisha,2010,Leukemia,0-14,Female,6940054,89241,5.25,36.5,109,63,,1.571,0.908,395675,4555
Telangana,2024,Lung,60-74,Male,2642708,57402,7.23,62.6,36,18,15,1.362,0.681,105657,
Tamil Nadu,2014,Leukemia,60-74,Female,3672291,20654,31.75,188.7,55,15,25,1.498,,493687,2838
Telangana,2012,Cervical,75+,Male,3500033,189278,19.63,247.7,71,39,41,2.029,1.114,126399,1787
Assam,2023,Breast,75+,Female,5976987,120616,37.33,,109,58,65,1.824,0.97,212191,1755
West Bengal,2019,Prostate,30-44,Female,2028296,123932,,294,42,,27,2.071,0.641,177125,2653
Delhi,2018,Breast,15-29,Female,1700641,132223,28.02,187,24,15,9,1.411,0.882,83579,
Chhattisgarh,2022,Breast,60-74,Male,3125709,179898,7.47,128.3,43,19,16,1.376,0.608,269803,3211
Odisha,2020,Ovarian,75+,Female,4081398,189546,14.48,115.5,60,31,35,1.47,0.76,73005,
Delhi,2016,Leukemia,60-74,Female,5960390,141916,,263.1,93,41,59,,0.688,42202,3685
Assam,2019,Colorectal,45-59,Female,2970849,118414,,142.1,58,30,24,1.952,1.01,44409,2784
Telangana,2022,Stomach,30-44,Male,4377897,5837,,196.9,72,16,40,1.645,0.365,,374
Jharkhand,2024,Ovarian,30-44,Female,6702364,23329,21.96,133.8,106,21,42,1.582,0.313,452731,2579
Karnataka,2021,Breast,15-29,Male,6727015,2536,39.4,34,109,40,34,1.62,0.595,253792,76
Himachal Pradesh,2019,Breast,45-59,Female,3949233,192631,21.14,272.5,55,30,,1.393,0.76,365770,4935
Haryana,2010,Lung,0-14,Male,7670940,189361,6.3,213.6,117,64,,,0.834,458736,1032
Tamil Nadu,2019,Stomach,30-44,Female,6092749,51758,20.6,262.4,93,21,,1.526,0.345,400802,2399
Bihar,2025,Lung,0-14,Male,1304034,24060,43.05,243.6,24,6,11,1.84,0.46,400753,1092
Madhya Pradesh,2017,Ovarian,60-74,Male,1317727,32276,24.62,91,22,6,13,1.67,0.455,387673,3617
Punjab,2025,Lung,30-44,Male,1359375,133696,28.73,,15,7,8,1.103,0.515,60669,3498
West Bengal,2022,Breast,75+,Female,4921710,,13.54,50,86,29,59,1.747,0.589,357121,2122
Madhya Pradesh,2020,Colorectal,45-59,Male,5174781,83027,39.78,87.1,87,17,34,,,48677,2705
Kerala,2012,Liver,30-44,Female,3334575,179359,43.41,,62,14,42,1.859,0.42,358702,2820
Uttar Pradesh,2023,Oral,45-59,Male,7532982,80982,10.52,68.8,126,57,73,,0.757,,1102
Gujarat,2020,Lung,75+,Female,4243354,54144,9.97,136,63,24,18,1.485,0.566,279509,
Tamil Nadu,2016,Prostate,30-44,Female,4826533,103980,13.76,282.3,76,,49,1.575,0.684,35976,
Andhra Pradesh,2018,Liver,75+,Female,4259777,115744,11.78,147.4,74,15,25,1.737,0.352,315595,172
Rajasthan,2017,Oral,30-44,Female,6941781,163676,12.13,208.9,117,60,67,1.685,0.864,489938,4606
Telangana,2012,Cervical,75+,Female,6125066,16985,34.69,236.8,95,21,37,,0.343,121958,1635
Haryana,2014,Oral,75+,Female,7408661,155474,25.26,57.9,126,37,41,1.701,0.499,30714,388
Odisha,2014,Cervical,75+,Male,2202860,143981,21.67,263.4,30,13,19,1.362,0.59,86827,728
Jharkhand,2016,Ovarian,45-59,Male,5280642,74134,22.16,,105,55,44,1.988,1.042,353379,3289
Gujarat,2022,Liver,75+,Male,5771309,121769,32.52,73.4,106,59,45,1.837,1.022,460190,4285
Andhra Pradesh,2011,Cervical,0-14,Female,3392106,50348,30.91,150.8,52,18,23,1.533,,282995,4650
Punjab,2015,Leukemia,15-29,Female,7627690,,24.72,37.8,126,57,51,1.652,0.747,346756,1265
West Bengal,2022,Lung,60-74,Female,512133,95060,24.77,194.2,2,0,0,0.391,0,439215,2117
Bihar,2018,Cervical,45-59,Female,4775773,19400,20.41,221.1,89,,51,1.864,1.194,244972,1763
Telangana,2017,Prostate,30-44,Male,1301099,55666,,,30,11,18,2.306,0.845,235579,4854
Assam,2013,Oral,45-59,Female,1749691,17501,29.58,297,32,19,21,1.829,1.086,361378,
Andhra Pradesh,2018,Lung,45-59,Male,2840604,97833,,56.6,47,22,25,1.655,0.774,65104,2411
Haryana,2020,Cervical,0-14,Male,6086039,,43.25,43.5,102,33,57,1.676,0.542,226528,2693
Madhya Pradesh,2021,Ovarian,75+,Female,5420338,143659,44.63,169.2,96,24,61,1.771,0.443,359199,177
Odisha,2010,Ovarian,45-59,Male,6986388,172144,12.52,130.8,125,27,82,1.789,0.386,227779,
Gujarat,2014,Liver,15-29,Female,3659263,40864,,251.4,68,19,40,,0.519,248391,585
Assam,2011,Ovarian,60-74,Female,3248767,82665,,150.1,50,21,18,1.539,0.646,377211,4139
Haryana,2023,Cervical,75+,Male,4396206,51445,,170.6,64,39,36,1.456,0.887,426752,4129
Assam,2021,Ovarian,0-14,Male,7931242,24837,27.7,,137,29,87,1.727,0.366,166314,4237
Punjab,2014,Ovarian,0-14,Male,4869987,,,274.9,82,21,32,,0.431,367957,995
Uttar Pradesh,2024,Leukemia,15-29,Female,2744391,187153,13.95,63.7,39,12,,1.421,0.437,,3551
Rajasthan,2012,Liver,30-44,Female,4792599,165764,40.85,189.4,84,30,52,1.753,0.626,395116,845
Karnataka,2016,Ovarian,15-29,Female,4103657,139176,31.91,,41,23,22,,0.56,394468,1916
Delhi,2011,Liver,30-44,Male,4801361,22271,25.85,258.3,73,27,42,1.52,0.562,333524,4836
West Bengal,2019,Leukemia,75+,Female,4887031,3876,37,135.5,80,24,29,1.637,,376200,967
Himachal Pradesh,2019,Ovarian,45-59,Male,6688072,,37.73,214.9,97,60,48,1.45,,480557,4770
Andhra Pradesh,2017,Cervical,75+,Female,2711931,157506,,65.3,38,12,24,1.401,0.442,341500,3742
Chhattisgarh,2018,Prostate,15-29,Female,3333272,,19.6,293.3,64,29,34,1.92,0.87,227781,2545
Karnataka,2021,Lung,45-59,Male,1278002,185620,13.93,156.8,20,9,12,1.565,0.704,,244
Odisha,2018,Oral,60-74,Female,4919441,143462,,43.2,80,21,24,1.626,0.427,69631,225
Haryana,2015,Stomach,75+,Male,2761494,85891,44.97,199.4,43,27,25,,0.978,284358,
Haryana,2020,Oral,0-14,Male,569031,83879,10.31,84.3,10,,5,1.757,0.351,457866,3742
West Bengal,2024,Ovarian,45-59,Male,7198412,114811,7.19,156.4,120,50,57,1.667,0.695,409148,
Delhi,2023,Lung,75+,Male,7343787,189351,40.26,138.3,117,52,,1.593,0.708,70203,1262
Rajasthan,2024,Ovarian,60-74,Female,4423790,22781,14.29,259,91,32,59,2.057,0.723,178149,
Maharashtra,2022,Colorectal,60-74,Female,1144205,107619,,177.6,31,,21,2.709,,104175,
Bihar,2020,Stomach,75+,Male,5451435,23593,22.11,142.3,99,38,53,1.816,0.697,,1275
Assam,2021,Stomach,0-14,Male,510921,16176,35.14,51.8,8,2,4,1.566,0.391,430175,4456
Punjab,2019,Ovarian,30-44,Female,7787531,168570,39.59,46,136,59,62,1.746,0.758,164322,2214
Maharashtra,2019,Cervical,60-74,Male,6030646,70722,21.72,298.8,111,34,53,1.841,0.564,137317,2071
Gujarat,2025,Lung,15-29,Male,3420741,88921,14.75,229,53,,30,1.549,0.906,425954,4082
Jharkhand,2022,Breast,30-44,Female,3832517,166182,31.59,239.4,77,,27,,0.861,434092,
Tamil Nadu,2012,Colorectal,0-14,Male,1840040,25271,26.17,162.5,43,27,22,2.337,1.467,85493,3237
Delhi,2010,Prostate,60-74,Male,3306457,,6.55,163.3,48,15,21,1.452,0.454,171014,
Madhya Pradesh,2010,Stomach,0-14,Female,1232493,28269,42.17,177,27,14,16,2.191,1.136,311796,392
Bihar,2025,Prostate,75+,Female,3173678,98994,,269.9,53,29,28,1.67,0.914,254238,2856
Kerala,2011,Liver,0-14,Male,2695125,98779,40.7,277.5,47,22,29,1.744,0.816,100730,2456
Delhi,2010,Ovarian,60-74,Male,3486683,82669,8.41,52.2,53,22,22,1.52,0.631,174748,681
Himachal Pradesh,2012,Cervical,75+,Male,2769696,35708,,,44,16,30,1.589,0.578,218113,4114
Tamil Nadu,2022,Breast,0-14,Female,1698322,80118,,49.3,31,8,,1.825,0.471,102832,190
Chhattisgarh,2012,Colorectal,0-14,Male,4527902,180170,33.51,96,76,44,43,1.678,0.972,287636,1365
Tamil Nadu,2021,Lung,60-74,Male,1018258,181409,26.71,115.2,17,9,11,1.67,0.884,44854,
West Bengal,2024,Prostate,60-74,Female,913523,172819,12.49,198.3,16,8,6,1.751,0.876,465372,3158
Andhra Pradesh,2013,Colorectal,30-44,Female,4580950,133219,36.5,27.4,61,,,1.332,0.611,317917,569
Bihar,2010,Leukemia,0-14,Male,3180760,164262,28.6,297,50,28,24,1.572,0.88,462243,1073
Karnataka,2024,Ovarian,45-59,Female,5997627,186562,41.99,149.1,113,44,78,1.884,0.734,,3399
Delhi,2014,Cervical,45-59,Male,5396231,120293,12.48,291.4,99,22,65,1.835,0.408,75769,
Karnataka,2011,Liver,15-29,Male,4050567,113914,22.99,175.3,78,25,37,1.926,0.617,401802,1483
Rajasthan,2023,Prostate,0-14,Male,6064021,22289,16.47,138.6,93,45,43,1.534,0.742,331067,2708
Jharkhand,2015,Leukemia,60-74,Male,3356525,192967,35.31,82.9,60,19,23,1.788,0.566,178027,4626
Jharkhand,2013,Ovarian,15-29,Male,2157342,178173,7.12,95.4,34,10,11,1.576,0.464,347289,4851
Haryana,2021,Prostate,75+,Female,3711223,184342,30.42,158.5,53,,31,1.428,0.485,,401
Telangana,2011,Stomach,60-74,Female,6127241,126680,28.04,188.3,108,32,58,1.763,0.522,151132,2121
Madhya Pradesh,2012,Cervical,0-14,Female,1658147,72862,26.87,,34,18,13,2.05,1.086,71710,1992
Gujarat,2016,Stomach,60-74,Male,1328551,57193,32.53,229.1,20,6,11,1.505,,302621,1320
Jharkhand,2012,Colorectal,45-59,Female,6363739,115883,20.37,235.1,121,46,80,1.901,0.723,496791,3707
Gujarat,2014,Colorectal,75+,Male,7153294,59837,28.66,262,110,24,45,1.538,0.336,328249,4710
Kerala,2011,Breast,45-59,Female,2414890,13128,15.54,169.4,32,19,13,1.325,0.787,64766,2927
Delhi,2018,Liver,30-44,Female,3126788,15523,43.5,236.1,57,,17,1.823,0.959,172437,3191
Maharashtra,2011,Breast,60-74,Female,1765524,83862,33.29,38.4,20,9,12,1.133,0.51,248471,2245
Kerala,2015,Stomach,60-74,Male,1685607,145258,,227.1,21,9,12,1.246,,146387,3966
Chhattisgarh,2024,Liver,60-74,Male,1434734,36920,35.53,220.2,25,14,16,1.742,0.976,307430,345
Telangana,2015,Breast,60-74,Female,4019051,83770,8.78,235.6,60,15,32,1.493,0.373,,4442
Chhattisgarh,2020,Ovarian,60-74,Male,1345451,142402,21.52,101.8,24,12,11,1.784,0.892,64696,4617
Kerala,2019,Ovarian,45-59,Male,1218082,167226,21.5,123.9,23,12,,1.888,0.985,219825,392
Gujarat,2023,Liver,0-14,Female,5661821,61001,42.07,71.2,90,46,27,1.59,0.812,145814,700
West Bengal,2020,Breast,60-74,Male,5057623,35740,29.83,46.4,73,41,28,1.443,0.811,177146,1934
Odisha,2024,Leukemia,60-74,Female,3368654,63397,30.43,38.9,52,24,23,,0.712,191682,3876
West Bengal,2012,Oral,45-59,Male,6318280,87972,31.03,153.4,114,64,49,1.804,1.013,323885,
Rajasthan,2011,Oral,45-59,Female,4983924,29849,36.45,33.6,80,51,32,1.605,1.023,41187,2685
Telangana,2024,Oral,45-59,Male,769853,177024,23.8,67.2,13,4,5,1.689,,492418,1219
Maharashtra,2025,Cervical,45-59,Male,4475115,35943,11.67,172.6,77,32,46,1.721,0.715,76500,4918
Rajasthan,2018,Leukemia,15-29,Male,7698989,,34.54,37.6,146,,,1.896,1.039,222666,
Punjab,2013,Leukemia,45-59,Male,5780049,68865,27.75,49.4,103,21,49,1.782,,225213,2752
Uttar Pradesh,2023,Colorectal,30-44,Male,3320668,,13.76,148.4,64,40,22,1.927,1.205,435421,
Chhattisgarh,2019,Stomach,30-44,Male,1474312,78764,5.62,110,26,10,12,1.764,0.678,233525,1311
Uttar Pradesh,2013,Prostate,60-74,Male,2456051,175914,41.3,87.4,51,,32,,1.303,460413,4776
Assam,2021,Liver,15-29,Male,6727481,58909,,245.8,117,25,44,1.739,,214109,3301
Kerala,2024,Stomach,0-14,Female,1871623,139221,,238.5,23,7,9,1.229,0.374,151002,
Tamil Nadu,2010,Breast,0-14,Female,1293582,,27.85,201.1,25,,11,1.933,0.618,,1150
Gujarat,2012,Oral,45-59,Female,2861406,144207,27.83,113,49,30,,1.712,1.048,373324,3565
Jharkhand,2020,Prostate,15-29,Male,5610416,,35.07,56.1,92,49,40,1.64,0.873,76065,2944
Andhra Pradesh,2016,Liver,60-74,Female,4863459,186013,39.66,56.7,94,,42,,0.905,36759,
Rajasthan,2014,Liver,45-59,Female,655062,,43.14,,11,6,6,,0.916,173789,4643
Gujarat,2014,Cervical,15-29,Male,5351792,,41.79,218.5,91,48,48,1.7,,26582,1870
Maharashtra,2025,Cervical,30-44,Female,776264,122199,35.03,22.2,17,3,10,2.19,0.386,264484,4361
Gujarat,2014,Cervical,0-14,Female,4411766,84690,38.24,24.9,81,23,44,,0.521,60219,3354
Bihar,2022,Stomach,60-74,Female,3116434,48573,22.35,54.5,43,14,19,1.38,0.449,303276,3434
Uttar Pradesh,2019,Stomach,45-59,Male,839990,58522,38.21,72.2,15,3,7,1.786,,313631,4470
Telangana,2014,Prostate,0-14,Female,6205381,178976,40.92,132.8,97,,33,1.563,0.467,71829,
Delhi,2020,Colorectal,30-44,Male,5147643,,12.96,206.6,89,44,38,1.729,0.855,30064,4822
Uttar Pradesh,2011,Colorectal,45-59,Female,4032652,170123,43.01,193.2,72,25,46,1.785,0.62,57755,2624
Madhya Pradesh,2019,Lung,75+,Female,5033877,145419,36.01,,71,34,38,1.41,0.675,37844,4639
Kerala,2024,Leukemia,60-74,Male,1527956,57664,32.05,211.7,20,,8,1.309,0.654,68148,4983
Karnataka,2020,Ovarian,60-74,Male,4434355,84618,42.73,267.3,68,,31,1.533,0.812,149514,4349
Andhra Pradesh,2016,Liver,0-14,Male,4343716,55527,5.95,84.7,78,41,44,1.796,0.944,435189,368
Bihar,2016,Stomach,30-44,Female,4783721,133904,7.54,235.8,85,53,,1.777,1.108,426060,1170
Maharashtra,2013,Ovarian,0-14,Male,2865990,161213,43.2,159.9,64,36,21,2.233,1.256,319138,614
Himachal Pradesh,2017,Prostate,30-44,Female,3023591,160706,38.7,290.9,46,15,26,1.521,0.496,244933,2983
Odisha,2014,Breast,45-59,Male,3757673,65699,24.5,273.3,61,16,24,1.623,0.426,187443,4842
Telangana,2011,Stomach,15-29,Male,6948301,38295,16.21,132.9,86,21,45,1.238,0.302,392903,1481
